Unnamed: 0,Median Price of Established House Transfers (Unstratified) ;  Sydney ;,Median Price of Established House Transfers (Unstratified) ;  Rest of NSW ;,Median Price of Established House Transfers (Unstratified) ;  Melbourne ;,Median Price of Established House Transfers (Unstratified) ;  Rest of Vic. ;,Median Price of Established House Transfers (Unstratified) ;  Brisbane ;,Median Price of Established House Transfers (Unstratified) ;  Rest of Qld. ;,Median Price of Established House Transfers (Unstratified) ;  Adelaide ;,Median Price of Established House Transfers (Unstratified) ;  Rest of SA ;,Median Price of Established House Transfers (Unstratified) ;  Perth ;,Median Price of Established House Transfers (Unstratified) ;  Rest of WA ;,Median Price of Established House Transfers (Unstratified) ;  Hobart ;,Median Price of Established House Transfers (Unstratified) ;  Rest of Tas. ;,Median Price of Established House Transfers (Unstratified) ;  Darwin ;,Median Price of Established House Transfers (Unstratified) ;  Rest of NT ;,Median Price of Established House Transfers (Unstratified) ;  Canberra ;,Median Price of Attached Dwelling Transfers (Unstratified) ;  Sydney ;,Median Price of Attached Dwelling Transfers (Unstratified) ;  Rest of NSW ;,Median Price of Attached Dwelling Transfers (Unstratified) ;  Melbourne ;,Median Price of Attached Dwelling Transfers (Unstratified) ;  Rest of Vic. ;,Median Price of Attached Dwelling Transfers (Unstratified) ;  Brisbane ;,Median Price of Attached Dwelling Transfers (Unstratified) ;  Rest of Qld. ;,Median Price of Attached Dwelling Transfers (Unstratified) ;  Adelaide ;,Median Price of Attached Dwelling Transfers (Unstratified) ;  Rest of SA ;,Median Price of Attached Dwelling Transfers (Unstratified) ;  Perth ;,Median Price of Attached Dwelling Transfers (Unstratified) ;  Rest of WA ;,Median Price of Attached Dwelling Transfers (Unstratified) ;  Hobart ;,Median Price of Attached Dwelling Transfers (Unstratified) ;  Rest of Tas. ;,Median Price of Attached Dwelling Transfers (Unstratified) ;  Darwin ;,Median Price of Attached Dwelling Transfers (Unstratified) ;  Rest of NT ;,Median Price of Attached Dwelling Transfers (Unstratified) ;  Canberra ;,Number of Established House Transfers ;  Sydney ;,Number of Established House Transfers ;  Rest of NSW ;,Number of Established House Transfers ;  Melbourne ;,Number of Established House Transfers ;  Rest of Vic. ;,Number of Established House Transfers ;  Brisbane ;,Number of Established House Transfers ;  Rest of Qld. ;,Number of Established House Transfers ;  Adelaide ;,Number of Established House Transfers ;  Rest of SA ;,Number of Established House Transfers ;  Perth ;,Number of Established House Transfers ;  Rest of WA ;,Number of Established House Transfers ;  Hobart ;,Number of Established House Transfers ;  Rest of Tas. ;,Number of Established House Transfers ;  Darwin ;,Number of Established House Transfers ;  Rest of NT ;,Number of Established House Transfers ;  Canberra ;,Number of Attached Dwelling Transfers ;  Sydney ;,Number of Attached Dwelling Transfers ;  Rest of NSW ;,Number of Attached Dwelling Transfers ;  Melbourne ;,Number of Attached Dwelling Transfers ;  Rest of Vic. ;,Number of Attached Dwelling Transfers ;  Brisbane ;,Number of Attached Dwelling Transfers ;  Rest of Qld. ;,Number of Attached Dwelling Transfers ;  Adelaide ;,Number of Attached Dwelling Transfers ;  Rest of SA ;,Number of Attached Dwelling Transfers ;  Perth ;,Number of Attached Dwelling Transfers ;  Rest of WA ;,Number of Attached Dwelling Transfers ;  Hobart ;,Number of Attached Dwelling Transfers ;  Rest of Tas. ;,Number of Attached Dwelling Transfers ;  Darwin ;,Number of Attached Dwelling Transfers ;  Rest of NT ;,Number of Attached Dwelling Transfers ;  Canberra ;
Unit,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number
Series Type,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original
Data Type,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW
Frequency,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter
Collection Month,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Series Start,2002-03-01 00:00:00,2003-09-01 00:00:00,2002-03-01 00:00:00,2003-09-01 00:00:00,2002-03-01 00:00:00,2003-09-01 00:00:00,2002-03-01 00:00:00,2003-09-01 00:00:00,2002-03-01 00:00:00,2003-09-01 00:00:00,2002-03-01 00:00:00,2003-09-01 00:00:00,2002-03-01 00:00:00,2003-09-01 00:00:00,2002-03-01 00:00:00,2003-09-01 00:00:00,2003-09-01 00:00:00,2003-09-01 00:00:00,2003-09-01 00:00:00,2003-09-01 00:00:00,2003-09-01 00:00:00,2003-09-01 00:00:00,2003-09-01 00:00:00,2003-09-01 00:00:00,2003-09-01 00:00:00,2003-09-01 00:00:00,2003-09-01 00:00:00,2003-09-01 00:00:00,2003-09-01 00:00:00,2003-09-01 00:00:00,2002-03-01 00:00:00,2003-09-01 00:00:00,2002-03-01 00:00:00,2003-09-01 00:00:00,2002-03-01 00:00:00,2003-09-01 00:00:00,2002-03-01 00:00:00,2003-09-01 00:00:00,2002-03-01 00:00:00,2003-09-01 00:00:00,2002-03-01 00:00:00,2003-09-01 00:00:00,2002-03-01 00:00:00,2003-09-01 00:00:00,2002-03-01 00:00:00,2003-09-01 00:00:00,2003-09-01 00:00:00,2003-09-01 00:00:00,2003-09-01 00:00:00,2003-09-01 00:00:00,2003-09-01 00:00:00,2003-09-01 00:00:00,2003-09-01 00:00:00,2003-09-01 00:00:00,2003-09-01 00:00:00,2003-09-01 00:00:00,2003-09-01 00:00:00,2003-09-01 00:00:00,2003-09-01 00:00:00,2003-09-01 00:00:00
Series End,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00
No. Obs,96,90,96,90,96,90,96,90,96,90,96,90,96,90,96,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,96,90,96,90,96,90,96,90,96,90,96,90,96,90,96,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
Series ID,A83728545T,A83728577K,A83728549A,A83728581A,A83728553T,A83728585K,A83728557A,A83728589V,A83728561T,A83728593K,A83728565A,A83728597V,A83728569K,A83728601X,A83728573A,A83728546V,A83728578L,A83728550K,A83728582C,A83728554V,A83728586L,A83728558C,A83728590C,A83728562V,A83728594L,A83728566C,A83728598W,A83728570V,A83728602A,A83728574C,A83728543L,A83728575F,A83728547W,A83728579R,A83728551L,A83728583F,A83728555W,A83728587R,A83728559F,A83728591F,A83728563W,A83728595R,A83728567F,A83728599X,A83728571W,A83728544R,A83728576J,A83728548X,A83728580X,A83728552R,A83728584J,A83728556X,A83728588T,A83728560R,A83728592J,A83728564X,A83728596T,A83728568J,A83728600W,A83728572X
2002-03-01 00:00:00,365,,241,,185,,166,,190,,123.3,,190,,245,,,,,,,,,,,,,,,,13078,,16024,,11042,,5534,,8929,,1482,,432,,1553,,,,,,,,,,,,,,,
